Campaign Name,Subject,Sent Date,Emails Sent,Open Rate,Unique Opens,Click Rate,CTOR,Unique clicks,Bounce Rate,Bounces,Unsubscribe Rate,Unsubscribes
July (Shower) Packs  - Orders,Soak up the savings with a free Focus on Showers pack,7/24/2025 15:02,10452,20.84,2178,0.97,4.64,101,0.01,1,0.15,16
July (Shower) Packs  - Packs,Soak up the savings with a free Focus on Showers pack,7/24/2025 15:00,48544,20.16,9788,1.48,7.35,719,0.04,17,0.09,43
July (Shower) Packs  - Packs,Soak up the savings with a free Focus on Showers pack,7/22/2025 16:45,86482,46.67,40360,2.57,5.51,2223,0.03,27,0.09,78
July (Shower) Packs  - Orders,Soak up the savings with a free Focus on Showers pack,7/22/2025 16:40,21524,53.78,11575,2.34,4.35,504,0.01,3,0.18,39
July (Shower) Packs ,Soak up the savings with a free Focus on Showers pack,7/18/2025 16:47,65061,18.99,12353,2.15,11.35,1402,0.03,18,0.11,72
4th of July Promo Send 3,Smart Thermostat Savings from Focus on Energy,7/16/2025 16:36,111298,46.68,51959,2.41,5.16,2679,0,3,0.12,136
July (Shower) Packs ,Soak up the savings with a free Focus on Showers pack,7/9/2025 18:15,131729,51.45,67774,4.86,9.45,6402,0.05,60,0.16,208
4th of July Promo Send 2,Smart Thermostat Savings from Focus on Energy,7/8/2025 16:37,111648,48.14,53747,3.1,6.44,3459,0.1,107,0.11,118
4th of July Promo,Smart Thermostat Savings from Focus on Energy,7/3/2025 15:33,25772,21.5,5540,1.94,9.04,501,0.05,13,0.13,34
4th of July Promo,Smart Thermostat Savings from Focus on Energy,7/1/2025 16:36,53269,54.57,29070,5.12,9.37,2725,0.06,30,0.11,61
Keep Cool and Save Energy This Summer.,Keep Cool and Save Energy This Summer.,6/26/2025 15:10,11874,42.64,5063,3.76,8.81,446,1.02,121,0.29,34
June (Shower) Packs,Soak up the savings with a free Focus on Showers pack,6/24/2025 15:25,36974,19.47,7199,2.52,12.95,932,0.08,28,0.11,41
Water Savers Resend,Easily Achievable Water Savings,6/18/2025 16:25,15377,21.95,3376,1.74,7.91,267,0.08,13,0.24,37
Water Savers Resend,Easily Achievable Water Savings,6/12/2025 18:32,34218,56.03,19171,4.02,7.18,1376,0.16,56,0.17,58
June (Shower) Packs,Soak up the savings with a free Focus on Showers pack,6/10/2025 16:41,73844,50.56,37334,4.33,8.56,3197,0.05,38,0.15,110
Memorial Day Sensi Promo,Take Control of Summer Weather with Sensi Thermostats,5/29/2025 16:30,52270,19.11,9988,0.75,3.92,392,0.06,33,0.16,84
Memorial Day Sensi Promo,Take Control of Summer Weather with Sensi Thermostats,5/27/2025 15:35,99065,49.62,49153,1.89,3.8,1870,0.07,70,0.13,131
Memorial Day Water Savers  (B),Easily Achievable Water Savings,5/22/2025 14:59,23434,20.24,4742,1.28,6.33,300,0,0,0.14,32
Memorial Day Water Savers  (A),A Torrent of Water Savings,5/22/2025 14:58,23766,18.8,4468,1.19,6.31,282,0,0,0.11,26
Memorial Day Water Savers  (A),A Torrent of Water Savings,5/20/2025 15:35,45414,50.18,22787,3.1,6.18,1408,0,0,0.15,70
Memorial Day Water Savers  (B),Easily Achievable Water Savings,5/20/2025 15:16,47777,53.28,25454,3.9,7.32,1864,0,2,0.14,68
Spring Packs (Comfort) May,Rejuvenate your space for FREE,5/14/2025 15:33,76946,53.67,41296,5.51,10.27,4243,0.01,4,0.15,119
Mysa Launch,New Thermostats for Electric Baseboard Heat from Mysa,5/8/2025 16:08,41242,20.52,8462,1.29,6.3,533,0,0,0.13,54
Mysa Launch,New Thermostats for Electric Baseboard Heat from Mysa,5/6/2025 16:06,80657,51.17,41270,2.92,5.71,2355,0.15,119,0.14,109
Earth Month (Thermostats),Save on smart thermostats for even smarter energy savings,4/24/2025 15:09,39624,9.55,3786,0.81,8.51,322,0.03,12,0.21,83
Weatherization B (April),Immediate energy savings for just $0.99,4/23/2025 15:15,24470,23.27,5693,2.55,10.98,625,0.04,9,0.12,29
Weatherization A (April),Immediate energy savings for just $0.99,4/23/2025 15:14,24048,22.06,5304,2.58,11.71,621,0.03,8,0.1,23
Earth Month (Thermostats),Save on smart thermostats for even smarter energy savings,4/22/2025 16:24,44791,13.36,5982,1.07,7.99,478,0.05,23,0.12,53
Weatherization A (April),Immediate energy savings for just $0.99,4/16/2025 15:13,54263,56.65,30742,5.86,10.34,3179,0.02,13,0.11,57
Weatherization B (April),Immediate energy savings for just $0.99,4/16/2025 15:09,55424,57,31594,5.85,10.26,3241,0.01,7,0.16,89
Earth Month (Thermostats),Save on smart thermostats for even smarter energy savings,4/15/2025 15:02,54819,19.4,10635,1.67,8.59,914,0.05,25,0.11,63
Earth Month (Thermostats),Save on smart thermostats for even smarter energy savings,4/10/2025 15:07,108946,51.03,55596,4.2,8.24,4580,0.03,34,0.12,136
